id,reg,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,firstRegistrationDate
31563,N776MS,True,17000050,AA8075,Envoy Air,E70,E170,E170,170SE,70,,,2004-09-30,2023-03-09,Embraer 170,2,Jet,False,Embraer ERJ170,20.4,True,4,2004-09-30
24106,N2140U,True,62651,A1CAC9,United Airlines,777,B777,B773,B777-322ER,350,2017-04-07,2017-04-07,2017-06-14,2017-06-14,Boeing 777,2,Jet,False,Boeing 777,7.9,True,1,2017-06-14
27437,N344FR,True,8639,A3CCB7,Frontier Airlines,32A,A320,A20N,320-251N,,2018-12-03,2018-12-03,2018-12-13,2018-12-13,Airbus A320 (Sharklets),2,Jet,False,Airbus A320,6.3,True,1,2018-12-13
182511,N183SY,True,17000589,A14D78,SkyWest Airlines,E75,E175,E175,175LR,76,2016-08-15,,,2016-09-12,Embraer 175,2,Jet,False,Embraer ERJ170,8.6,True,1,2016-09-12
14077,N583AS,True,35681,A7811E,Alaska Airlines,738,B738,B738,737-890,159,2007-07-16,2007-07-16,2007-08-12,2007-08-12,Boeing 737-800,2,Jet,False,Boeing 737 NG,17.7,True,1,2007-08-12
1491,N221NV,False,1288,A1E5F8,Allegiant Air,320,A320,A320,320-214,,2000-07-11,2000-07-11,2000-08-30,2013-09-28,Airbus A320,2,Jet,False,Airbus A320,24.7,True,3,2000-08-30
2602,N477UA,True,1514,A5DCDE,United Airlines,320,A320,A320,320-232,,2001-06-06,2001-06-06,2001-07-19,2009-01-04,Airbus A320,2,Jet,False,Airbus A320,23.8,True,3,2001-07-19
12572,N448WN,True,33721,A56A56,Southwest Airlines,73G,B737,B737,737-7H4,143,2003-11-03,2003-11-03,2003-12-17,2003-12-17,Boeing 737-700,2,Jet,False,Boeing 737 NG,21.4,True,1,2003-12-17
31563,N632RW,False,17000050,A846B6,Republic Airways,E70,E170,E170,170SE,70,,,2004-09-30,2016-12-14,Embraer 170,2,Jet,False,Embraer ERJ170,20.4,True,4,2004-09-30
27456,N908NK,True,8658,AC8E1A,Spirit Airlines,32B,A321,A20N,320-271N,182,2018-12-05,2018-12-05,2018-12-22,2018-12-21,Airbus A321 (Sharklets),2,Jet,False,Airbus A321,6.3,True,1,2018-12-21
2115173,N920EV,True,7810,ACBEA2,West Air (USA),CR2,CRJ2,CRJ2,CRJ-200LR,,,,2003-07-02,2017-06-23,Canadair CRJ 200,2,Jet,False,Canadair CRJ 100,21.7,True,3,2003-07-02
25360,N196NV,True,6965,A17FB5,Allegiant Air,320,A320,A320,320-214,150,2016-01-27,2016-01-27,2016-02-20,2023-02-20,Airbus A320,2,Jet,False,Airbus A320,9.1,True,3,2016-02-20
16989,N78448,True,40003,AAA267,United Airlines,739,B739,B739,B737-924ER,169,2012-02-17,2012-02-17,2012-03-01,2012-03-01,Boeing 737-900,2,Jet,False,Boeing 737 NG,13.1,True,1,2012-03-01
